"","row.names(summary_model_factors_Tpref$coefficients)","Estimate","Std. Error","Pr(>|z|)","Pr(>Chisq)","print(r2_model_factors_Tpref$R2_conditional)","print(r2_model_factors_Tpref$R2_marginal)"
"1","(Intercept)",32.3766190183472,1.05056773894954,1.49431043109019e-208,1.49431043109036e-208,NA,NA
"2","Length_mm",0.0247512835244928,0.358970073434158,0.945028760452307,0.945028760452307,NA,NA
"3","Length_legs_mm",0.0767730661468766,0.122122787563494,0.529575131574277,0.529575131574277,NA,NA
"4","UHI_03_04_pixel.x",-0.10201474954416,0.259949321843699,0.694732460356528,0.694732460356528,NA,NA
"5","SexM",-0.0981489252567655,0.640710012674344,0.878250217721833,0.878250217721833,NA,NA
"6","UHI_03_04_pixel.x:SexM",0.341138824431983,0.38304432304256,0.373144429230915,0.373144429230915,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,0.020469789433924
