"","row.names(summary_model_factors_Tpref$coefficients)","Estimate","Std. Error","Pr(>|z|)","Pr(>Chisq)","print(r2_model_factors_Tpref$R2_conditional)","print(r2_model_factors_Tpref$R2_marginal)"
"1","(Intercept)",34.4947530900644,1.48855498184613,8.46315380397386e-119,8.46315380397414e-119,NA,NA
"2","Length_mm",0.743110009224192,0.296992093076954,0.0123451893144108,0.0123451893144108,NA,NA
"3","Length_legs_mm",-0.246401792739755,0.1279879667467,0.0542049682748997,0.0542049682748998,NA,NA
"4","UHI_03_04_pixel.x",0.0938154986322482,0.285199138329506,0.742195489581071,0.742195489581071,NA,NA
"5","SexM",-0.588162948483469,0.749337548523443,0.432506015121894,0.432506015121894,NA,NA
"6","UHI_03_04_pixel.x:SexM",0.120208698073205,0.391999846472902,0.759106014061976,0.759106014061976,NA,NA
"7",NA,NA,NA,NA,NA,0.145512047487178,NA
"8",NA,NA,NA,NA,NA,NA,0.0663749290064841
