Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
L3b/P/3/N2	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0404	ok
L3b/P/3/N3	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0265	ok
L3b/P/3/N4	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0281	ok
L3b/P/3/N5	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0298	ok
L3b/P/3/N6	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0356	ok
L3b/P/3/N7	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0264	ok
L3b/P/3/N8	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0392	ok
L3b/P/3/N9	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0255	ok
M1/P/2/N1	20-avr	11h30	M1	Levenière	21.1	F	0.0389	ok
M1/P/2/N10	20-avr	11h30	M1	Levenière	21.1	M	0.0138	ok
M1/P/2/N11	20-avr	11h30	M1	Levenière	21.1	F	0.0396	ok
M1/P/2/N12	20-avr	11h30	M1	Levenière	21.1	M	0.011	ok
M1/P/2/N13	20-avr	11h30	M1	Levenière	21.1	M	0.0154	ok
M1/P/2/N14	20-avr	11h30	M1	Levenière	21.1	F	0.0503	ok
M1/P/2/N15	20-avr	11h30	M1	Levenière	21.1	F	0.0495	ok
M1/P/2/N16	20-avr	11h30	M1	Levenière	21.1	M	0.014	ok
M1/P/2/N17	20-avr	11h30	M1	Levenière	21.1	F	0.0481	ok
M1/P/2/N18	20-avr	11h30	M1	Levenière	21.1	F	0.0214	ok
M1/P/2/N19	20-avr	11h30	M1	Levenière	21.1	F	0.024	ok
M1/P/2/N2	20-avr	11h30	M1	Levenière	21.1	F	0.0549	ok
M1/P/2/N20	20-avr	11h30	M1	Levenière	21.1	F	0.0448	ok
M1/P/2/N21	20-avr	11h30	M1	Levenière	21.1	M	0.0143	ok
M1/P/2/N22	20-avr	11h30	M1	Levenière	21.1	F	0.0355	ok
M1/P/2/N23	20-avr	11h30	M1	Levenière	21.1	F	0.038	ok
M1/P/2/N24	20-avr	11h30	M1	Levenière	21.1	M	0.013	ok
M1/P/2/N25	20-avr	11h30	M1	Levenière	21.1	M	0.013	ok
M1/P/2/N26	20-avr	11h30	M1	Levenière	21.1	F	0.0284	ok
M1/P/2/N27	20-avr	11h30	M1	Levenière	21.1	F	0.0125	ok
M1/P/2/N28	20-avr	11h30	M1	Levenière	21.1	F	0.012	ok
M1/P/2/N3	20-avr	11h30	M1	Levenière	21.1	M	0.0116	ok
M1/P/2/N4	20-avr	11h30	M1	Levenière	21.1	F	0.0369	ok
M1/P/2/N5	20-avr	11h30	M1	Levenière	21.1	M	0.0138	ok
M1/P/2/N6	20-avr	11h30	M1	Levenière	21.1	M	0.0133	ok
M1/P/2/N7	20-avr	11h30	M1	Levenière	21.1	M	0.0137	ok
M1/P/2/N8	20-avr	11h30	M1	Levenière	21.1	M	0.0122	ok
M1/P/2/N9	20-avr	11h30	M1	Levenière	21.1	M	0.0102	ok
M1/P/N1	14-mars	9h30	M1	Levenière	9.7	F	0.0234	juv
M1/P/N10	14-mars	9h30	M1	Levenière	9.7	M	0.0122	juv
M1/P/N11	14-mars	9h30	M1	Levenière	9.7	F	0.0224	juv
M1/P/N12	14-mars	9h30	M1	Levenière	9.7	F	0.0154	juv
M1/P/N13	14-mars	9h30	M1	Levenière	9.7	F	0.025	juv
M1/P/N14	14-mars	9h30	M1	Levenière	9.7	M	0.016	juv
M1/P/N15	14-mars	11h30	M1	Levenière	18.4	F	0.0239	juv
M1/P/N16	14-mars	11h30	M1	Levenière	18.4	M	0.0131	juv
M1/P/N17	14-mars	11h30	M1	Levenière	18.4	F	0.0251	juv
M1/P/N18	14-mars	11h30	M1	Levenière	18.4	M	0.0122	juv
M1/P/N19	14-mars	11h30	M1	Levenière	18.4	M	0.0144	juv
M1/P/N2	14-mars	9h30	M1	Levenière	9.7	M	0.0137	juv
M1/P/N20	14-mars	11h30	M1	Levenière	18.4	M	0.0124	juv
M1/P/N21	14-mars	11h30	M1	Levenière	18.4	M	0.0152	juv
M1/P/N22	14-mars	11h30	M1	Levenière	18.4	F	0.02	juv
M1/P/N23	14-mars	11h30	M1	Levenière	18.4	M	0.127	juv
M1/P/N24	14-mars	11h30	M1	Levenière	18.4	M	0.0135	juv
M1/P/N25	14-mars	11h30	M1	Levenière	18.4	F	0.0268	juv
M1/P/N26	14-mars	11h30	M1	Levenière	18.4	M	0.0128	juv
M1/P/N27	14-mars	11h30	M1	Levenière	18.4	M	0.015	juv
M1/P/N28	14-mars	11h30	M1	Levenière	18.4	F	0.0184	juv
M1/P/N29	22-mars	15h30	M1	Levenière	18.6	F	0.0181	juv
M1/P/N3	14-mars	9h30	M1	Levenière	9.7	M	0.0146	juv
M1/P/N30	22-mars	15h30	M1	Levenière	18.6	M	0.0128	juv
M1/P/N31	22-mars	15h30	M1	Levenière	18.6	F	0.0231	juv
M1/P/N32	22-mars	15h30	M1	Levenière	18.6	M	0.0138	juv
M1/P/N33	22-mars	15h30	M1	Levenière	18.6	M	0.0143	juv
M1/P/N34	22-mars	15h30	M1	Levenière	18.6	F	0.0256	juv
M1/P/N35	22-mars	15h30	M1	Levenière	18.6	M	0.0176	juv
M1/P/N36	22-mars	15h30	M1	Levenière	18.6	F	0.0234	juv
M1/P/N37	22-mars	15h30	M1	Levenière	18.6	F	0.0161	juv
M1/P/N38	22-mars	15h30	M1	Levenière	18.6	M	0.0105	juv
M1/P/N39	22-mars	15h30	M1	Levenière	18.6	F	0.017	juv
M1/P/N4	14-mars	9h30	M1	Levenière	9.7	M	0.015	juv
M1/P/N40	22-mars	15h30	M1	Levenière	18.6	F	0.0181	juv
M1/P/N41	22-mars	15h30	M1	Levenière	18.6	F	0.0254	juv
M1/P/N42	22-mars	15h30	M1	Levenière	18.6	F	0.0258	juv
M1/P/N5	14-mars	9h30	M1	Levenière	9.7	M	0.0117	juv
M1/P/N6	14-mars	9h30	M1	Levenière	9.7	M	0.0115	juv
M1/P/N7	14-mars	9h30	M1	Levenière	9.7	M	0.0137	juv
M1/P/N8	14-mars	9h30	M1	Levenière	9.7	M	0.0111	juv
M1/P/N9	14-mars	9h30	M1	Levenière	9.7	F	0.0238	juv
M3/P/2/N1	22-avr	11h	M3	Poterie	17.7	M	0.0134	ok
M3/P/2/N10	22-avr	11h	M3	Poterie	17.7	M	0.0115	ok
M3/P/2/N11	22-avr	11h	M3	Poterie	17.7	M	0.0118	ok
M3/P/2/N12	22-avr	11h	M3	Poterie	17.7	M	0.0137	ok
M3/P/2/N13	22-avr	11h	M3	Poterie	17.7	M	0.0117	ok
M3/P/2/N14	22-avr	11h	M3	Poterie	17.7	F	0.0385	ok
M3/P/2/N15	22-avr	11h	M3	Poterie	17.7	F	0.06	ok
M3/P/2/N16	22-avr	11h	M3	Poterie	17.7	F	0.0318	ok
M3/P/2/N17	22-avr	11h	M3	Poterie	17.7	F	0.0304	ok
M3/P/2/N18	22-avr	11h	M3	Poterie	17.7	F	0.0376	ok
M3/P/2/N19	22-avr	11h	M3	Poterie	17.7	F	0.0219	ok
M3/P/2/N2	22-avr	11h	M3	Poterie	17.7	M	0.0124	ok
M3/P/2/N20	22-avr	11h	M3	Poterie	17.7	F	0.0288	ok
M3/P/2/N21	22-avr	11h	M3	Poterie	17.7	F	0.038	ok
M3/P/2/N22	22-avr	11h	M3	Poterie	17.7	F	0.0249	ok
M3/P/2/N23	22-avr	11h	M3	Poterie	17.7	F	0.0211	ok
M3/P/2/N24	22-avr	11h	M3	Poterie	17.7	F	0.0335	ok
M3/P/2/N25	22-avr	11h	M3	Poterie	17.7	F	0.0349	ok
M3/P/2/N26	22-avr	11h	M3	Poterie	17.7	F	0.0314	ok
M3/P/2/N27	22-avr	11h	M3	Poterie	17.7	F	0.0258	ok
M3/P/2/N28	22-avr	11h	M3	Poterie	17.7	F	0.0238	ok
M3/P/2/N3	22-avr	11h	M3	Poterie	17.7	M	0.012	ok
M3/P/2/N4	22-avr	11h	M3	Poterie	17.7	M	0.0145	ok
M3/P/2/N5	22-avr	11h	M3	Poterie	17.7	M	0.0123	ok
M3/P/2/N6	22-avr	11h	M3	Poterie	17.7	M	0.0111	ok
M3/P/2/N7	22-avr	11h	M3	Poterie	17.7	M	0.0138	ok
M3/P/2/N8	22-avr	11h	M3	Poterie	17.7	M	0.0111	ok
M3/P/2/N9	22-avr	11h	M3	Poterie	17.7	M	0.0139	ok
M3/P/3/N1	22-juin	12h30	M3	Poterie	23.4	F	0.0353	ok
M3/P/3/N10	22-juin	12h30	M3	Poterie	23.4	F	0.0328	ok
M3/P/3/N11	22-juin	12h30	M3	Poterie	23.4	F	0.0335	ok
M3/P/3/N12	22-juin	12h30	M3	Poterie	23.4	F	0.0281	ok
M3/P/3/N13	22-juin	12h30	M3	Poterie	23.4	F	0.0329	ok
M3/P/3/N14	22-juin	12h30	M3	Poterie	23.4	F	0.038	ok
M3/P/3/N15	22-juin	12h30	M3	Poterie	23.4	F	0.041	ok
M3/P/3/N16	22-juin	12h30	M3	Poterie	23.4	F	0.0366	ok
M3/P/3/N17	22-juin	12h30	M3	Poterie	23.4	F	0.0358	ok
M3/P/3/N18	22-juin	12h30	M3	Poterie	23.4	F	0.0387	ok
M3/P/3/N19	22-juin	12h30	M3	Poterie	23.4	F	0.0443	ok
M3/P/3/N2	22-juin	12h30	M3	Poterie	23.4	F	0.0442	ok
M3/P/3/N20	22-juin	12h30	M3	Poterie	23.4	F	0.0342	ok
M3/P/3/N21	22-juin	12h30	M3	Poterie	23.4	F	0.0513	ok
M3/P/3/N22	22-juin	12h30	M3	Poterie	23.4	F	0.0277	ok
M3/P/3/N23	22-juin	12h30	M3	Poterie	23.4	F	0.0393	ok
M3/P/3/N24	22-juin	12h30	M3	Poterie	23.4	F	0.0333	ok
M3/P/3/N25	22-juin	12h30	M3	Poterie	23.4	F	0.0349	ok
M3/P/3/N26	22-juin	12h30	M3	Poterie	23.4	F	0.0343	ok
M3/P/3/N27	22-juin	12h30	M3	Poterie	23.4	F	0.027	ok
M3/P/3/N3	22-juin	12h30	M3	Poterie	23.4	F	0.0369	ok
M3/P/3/N4	22-juin	12h30	M3	Poterie	23.4	F	0.0397	ok
M3/P/3/N5	22-juin	12h30	M3	Poterie	23.4	F	0.0376	ok
M3/P/3/N6	22-juin	12h30	M3	Poterie	23.4	F	0.0352	ok
M3/P/3/N7	22-juin	12h30	M3	Poterie	23.4	F	0.0265	ok
M3/P/3/N8	22-juin	12h30	M3	Poterie	23.4	F	0.0391	ok
M3/P/3/N9	22-juin	12h30	M3	Poterie	23.4	F	0.0281	ok
M3/P/N1	23-mars	10h	M3	Poterie	14	F	0.0215	juv
M3/P/N10	23-mars	10h	M3	Poterie	14	F	0.017	juv
M3/P/N11	23-mars	10h	M3	Poterie	14	M	0.0144	juv
M3/P/N12	23-mars	10h	M3	Poterie	14	M	0.0136	juv
M3/P/N13	23-mars	10h	M3	Poterie	14	M	0.0138	juv
M3/P/N14	23-mars	10h	M3	Poterie	14	F	0.0212	juv
M3/P/N15	23-mars	13h	M3	Poterie	17.1	F	0.0115	juv
M3/P/N16	23-mars	13h	M3	Poterie	17.1	M	0.0142	juv
M3/P/N17	23-mars	13h	M3	Poterie	17.1	F	0.015	juv
M3/P/N18	23-mars	13h	M3	Poterie	17.1	F	0.0138	juv
M3/P/N19	23-mars	13h	M3	Poterie	17.1	M	0.0127	juv
M3/P/N2	23-mars	10h	M3	Poterie	14	F	0.0248	juv
M3/P/N20	23-mars	13h	M3	Poterie	17.1	F	0.0168	juv
M3/P/N21	23-mars	13h	M3	Poterie	17.1	M	0.0091	juv
M3/P/N22	23-mars	13h	M3	Poterie	17.1	M	0.013	juv
M3/P/N23	23-mars	13h	M3	Poterie	17.1	F	0.0176	juv
M3/P/N24	23-mars	13h	M3	Poterie	17.1	F	0.0222	juv
M3/P/N25	23-mars	13h	M3	Poterie	17.1	M	0.0148	juv
M3/P/N26	23-mars	13h	M3	Poterie	17.1	M	0.0168	juv
M3/P/N27	23-mars	13h	M3	Poterie	17.1	F	0.0172	juv
M3/P/N28	23-mars	13h	M3	Poterie	17.1	F	0.0148	juv
M3/P/N29	24-mars	14h	M3	Poterie	24.8	F	0.0161	juv
M3/P/N3	23-mars	10h	M3	Poterie	14	M	0.0126	juv
M3/P/N30	24-mars	14h	M3	Poterie	24.8	M	0.0163	juv
M3/P/N31	24-mars	14h	M3	Poterie	24.8	F	0.015	juv
M3/P/N32	24-mars	14h	M3	Poterie	24.8	F	0.02	juv
M3/P/N33	24-mars	14h	M3	Poterie	24.8	M	0.0084	juv
M3/P/N34	24-mars	14h	M3	Poterie	24.8	M	0.0107	juv
M3/P/N35	24-mars	14h	M3	Poterie	24.8	M	0.0143	juv
M3/P/N36	24-mars	14h	M3	Poterie	24.8	F	0.0117	juv
M3/P/N37	24-mars	14h	M3	Poterie	24.8	F	0.0155	juv
M3/P/N38	24-mars	14h	M3	Poterie	24.8	M	0.0116	juv
M3/P/N39	24-mars	14h	M3	Poterie	24.8	M	0.0113	juv
M3/P/N4	23-mars	10h	M3	Poterie	14	F	0.0141	juv
M3/P/N40	24-mars	14h	M3	Poterie	24.8	F	0.0141	juv
M3/P/N41	24-mars	14h	M3	Poterie	24.8	F	0.0163	juv
M3/P/N42	24-mars	14h	M3	Poterie	24.8	M	0.0131	juv
M3/P/N43	24-mars	14h	M3	Poterie	24.8	F	0.0146	juv
M3/P/N44	24-mars	14h	M3	Poterie	24.8	F	0.0179	juv
M3/P/N45	24-mars	14h	M3	Poterie	24.8	F	0.0176	juv
M3/P/N46	24-mars	14h	M3	Poterie	24.8	F	0.0202	juv
M3/P/N47	24-mars	14h	M3	Poterie	24.8	F	0.0148	juv
M3/P/N48	24-mars	14h	M3	Poterie	24.8	F	0.019	juv
M3/P/N49	24-mars	14h	M3	Poterie	24.8	M	0.0126	juv
M3/P/N5	23-mars	10h	M3	Poterie	14	F	0.0116	juv
M3/P/N50	24-mars	14h	M3	Poterie	24.8	F	0.0081	juv
M3/P/N51	24-mars	14h	M3	Poterie	24.8	F	0.0181	juv
M3/P/N52	24-mars	14h	M3	Poterie	24.8	M	0.0121	juv
M3/P/N53	24-mars	14h	M3	Poterie	24.8	M	0.0103	juv
M3/P/N54	24-mars	14h	M3	Poterie	24.8	F	0.0183	juv
M3/P/N55	24-mars	14h	M3	Poterie	24.8	M	0.0134	juv
M3/P/N56	24-mars	14h	M3	Poterie	24.8	M	0.0118	juv
M3/P/N6	23-mars	10h	M3	Poterie	14	F	0.017	juv
M3/P/N7	23-mars	10h	M3	Poterie	14	F	0.0194	juv
M3/P/N8	23-mars	10h	M3	Poterie	14	F	0.0202	juv
M3/P/N9	23-mars	10h	M3	Poterie	14	M	0.0162	juv
R/P/2/N1	22-avr	9h30	R	Thabor	19.2	F	0.0324	ok
R/P/2/N10	22-avr	9h30	R	Thabor	19.2	F	0.0244	ok
R/P/2/N11	22-avr	9h30	R	Thabor	19.2	F	0.0302	ok
R/P/2/N12	22-avr	9h30	R	Thabor	19.2	M	0.0302	ok
R/P/2/N13	22-avr	9h30	R	Thabor	19.2	F	0.0257	ok
R/P/2/N14	22-avr	9h30	R	Thabor	19.2	F	0.0263	ok
R/P/2/N15	25-avr	13h	R	Thabor	19.5	M	0.0146	ok
R/P/2/N16	25-avr	13h	R	Thabor	19.5	M	0.0087	ok
R/P/2/N17	25-avr	13h	R	Thabor	19.5	M	0.0115	ok
R/P/2/N18	25-avr	13h	R	Thabor	19.5	M	0.0139	ok
R/P/2/N19	25-avr	13h	R	Thabor	19.5	M	0.0109	ok
R/P/2/N2	22-avr	9h30	R	Thabor	19.2	F	0.0286	ok
R/P/2/N20	25-avr	13h	R	Thabor	19.5	M	0.0122	ok
R/P/2/N21	25-avr	13h	R	Thabor	19.5	M	0.0128	ok
R/P/2/N22	25-avr	13h	R	Thabor	19.5	F	0.0282	ok
R/P/2/N23	25-avr	13h	R	Thabor	19.5	F	0.0159	ok
R/P/2/N24	25-avr	13h	R	Thabor	19.5	F	0.0176	ok
R/P/2/N25	25-avr	13h	R	Thabor	19.5	F	0.0253	ok
R/P/2/N26	25-avr	13h	R	Thabor	19.5	F	0.0244	ok
R/P/2/N27	25-avr	13h	R	Thabor	19.5	F	0.0293	ok
R/P/2/N3	22-avr	9h30	R	Thabor	19.2	M	0.0127	ok
R/P/2/N4	22-avr	9h30	R	Thabor	19.2	M	0.0124	ok
R/P/2/N5	22-avr	9h30	R	Thabor	19.2	F	0.0283	ok
R/P/2/N6	22-avr	9h30	R	Thabor	19.2	F	0.0417	ok
R/P/2/N7	22-avr	9h30	R	Thabor	19.2	F	0.0334	ok
R/P/2/N8	22-avr	9h30	R	Thabor	19.2	F	0.0305	ok
R/P/2/N9	22-avr	9h30	R	Thabor	19.2	M	0.0139	ok
R/P/3/N1	22-juin	10h30	R	Thabor	18.5	F	0.0203	ok
R/P/N1	25-mars	11h	M3	Thabor	18.4	F	0.0114	juv
R/P/N10	25-mars	11h	M3	Thabor	18.4	F	0.0259	juv
R/P/N11	25-mars	11h	M3	Thabor	18.4	F	0.0089	juv
R/P/N12	25-mars	11h	M3	Thabor	18.4	F	0.0253	juv
R/P/N13	25-mars	11h	M3	Thabor	18.4	M	0.0162	ok
R/P/N14	25-mars	11h	M3	Thabor	18.4	F	0.0256	ok
R/P/N15	28-mars	11h30	M3	Thabor	14.7	F	0.0217	ok
R/P/N16	28-mars	11h30	M3	Thabor	14.7	F	0.0177	juv
R/P/N17	28-mars	11h30	M3	Thabor	14.7	F	0.0296	juv
R/P/N18	28-mars	11h30	M3	Thabor	14.7	F	0.033	ok
R/P/N19	28-mars	11h30	M3	Thabor	14.7	M	0.0147	ok
R/P/N2	25-mars	11h	M3	Thabor	18.4	F	0.0223	juv
R/P/N20	28-mars	11h30	M3	Thabor	14.7	F	0.0244	juv
R/P/N21	28-mars	11h30	M3	Thabor	14.7	F	0.0138	juv
R/P/N22	28-mars	11h30	M3	Thabor	14.7	F	0.0267	ok
R/P/N23	28-mars	11h30	M3	Thabor	14.7	F	0.0205	ok
R/P/N24	28-mars	11h30	M3	Thabor	14.7	F	0.0281	ok
R/P/N25	28-mars	11h30	M3	Thabor	14.7	M	0.0136	ok
R/P/N26	28-mars	11h30	M3	Thabor	14.7	F	0.0265	ok
R/P/N27	28-mars	11h30	M3	Thabor	14.7	F	0.0234	juv
R/P/N28	28-mars	11h30	M3	Thabor	14.7	F	0.0283	ok
R/P/N29	28-mars	11h30	M3	Thabor	14.7	F	0.021	juv
R/P/N3	25-mars	11h	M3	Thabor	18.4	F	0.0191	juv
R/P/N30	28-mars	11h30	M3	Thabor	14.7	M	0.0162	ok
R/P/N31	28-mars	11h30	M3	Thabor	14.7	F	0.0298	juv
R/P/N32	28-mars	11h30	M3	Thabor	14.7	M	0.0178	ok
R/P/N33	28-mars	11h30	M3	Thabor	14.7	M	0.0132	ok
R/P/N34	28-mars	11h30	M3	Thabor	14.7	M	0.0094	juv
R/P/N35	28-mars	11h30	M3	Thabor	14.7	F	0.0235	ok
R/P/N36	28-mars	11h30	M3	Thabor	14.7	M	0.0118	ok
R/P/N37	28-mars	11h30	M3	Thabor	14.7	M	0.0164	ok
R/P/N38	28-mars	11h30	M3	Thabor	14.7	M	0.0147	ok
R/P/N39	28-mars	11h30	M3	Thabor	14.7	F	0.0288	ok
R/P/N4	25-mars	11h	M3	Thabor	18.4	M	0.0191	ok
R/P/N40	28-mars	11h30	M3	Thabor	14.7	M	0.012	ok
R/P/N41	28-mars	11h30	M3	Thabor	14.7	M	0.0148	ok
R/P/N42	28-mars	11h30	M3	Thabor	14.7	M	0.0119	ok
R/P/N5	25-mars	11h	M3	Thabor	18.4	F	0.0157	juv
R/P/N6	25-mars	11h	M3	Thabor	18.4	F	0.0114	juv
R/P/N7	25-mars	11h	M3	Thabor	18.4	F	0.0248	juv
R/P/N8	25-mars	11h	M3	Thabor	18.4	F	0.0256	juv
R/P/N9	25-mars	11h	M3	Thabor	18.4	F	0.0277	juv
R2/P/2/N1	26-avr	14h	R2	Rennes2	17.5	M	0.0163	ok
R2/P/2/N10	26-avr	14h	R2	Rennes2	17.5	M	0.0122	ok
R2/P/2/N11	26-avr	14h	R2	Rennes2	17.5	M	0.0116	ok
R2/P/2/N12	26-avr	14h	R2	Rennes2	17.5	M	0.0165	ok
R2/P/2/N13	26-avr	14h	R2	Rennes2	17.5	M	0.0176	ok
R2/P/2/N14	26-avr	14h	R2	Rennes2	17.5	M	0.0115	ok
R2/P/2/N15	26-avr	14h	R2	Rennes2	17.5	M	0.0154	ok
R2/P/2/N16	26-avr	14h	R2	Rennes2	17.5	F	0.0289	ok
R2/P/2/N17	26-avr	14h	R2	Rennes2	17.5	F	0.0349	ok
R2/P/2/N18	26-avr	14h	R2	Rennes2	17.5	F	0.0206	ok
R2/P/2/N19	26-avr	14h	R2	Rennes2	17.5	F	0.0377	ok
R2/P/2/N2	26-avr	14h	R2	Rennes2	17.5	M	0.0109	ok
R2/P/2/N20	26-avr	14h	R2	Rennes2	17.5	F	0.033	ok
R2/P/2/N21	26-avr	14h	R2	Rennes2	17.5	F	0.042	ok
R2/P/2/N22	26-avr	14h	R2	Rennes2	17.5	F	0.0364	ok
R2/P/2/N23	26-avr	14h	R2	Rennes2	17.5	F	0.0277	ok
R2/P/2/N24	26-avr	14h	R2	Rennes2	17.5	F	0.0316	ok
R2/P/2/N25	26-avr	14h	R2	Rennes2	17.5	F	0.0335	ok
R2/P/2/N26	26-avr	14h	R2	Rennes2	17.5	F	0.0313	ok
R2/P/2/N27	26-avr	14h	R2	Rennes2	17.5	M	0.0124	ok
R2/P/2/N28	26-avr	14h	R2	Rennes2	17.5	M	0.0154	ok
R2/P/2/N3	26-avr	14h	R2	Rennes2	17.5	M	0.0145	ok
R2/P/2/N4	26-avr	14h	R2	Rennes2	17.5	M	0.0105	juv
R2/P/2/N5	26-avr	14h	R2	Rennes2	17.5	M	0.0135	ok
R2/P/2/N6	26-avr	14h	R2	Rennes2	17.5	M	0.0135	ok
R2/P/2/N7	26-avr	14h	R2	Rennes2	17.5	M	0.0147	ok
R2/P/2/N8	26-avr	14h	R2	Rennes2	17.5	M	0.0132	ok
R2/P/2/N9	26-avr	14h	R2	Rennes2	17.5	M	0.0151	ok
R2/P/3/N1	22-juin	9h	R2	Rennes2	18.5	F	0.019	ok
R2/P/3/N10	22-juin	9h	R2	Rennes2	18.5	F	0.0216	ok
R2/P/3/N11	22-juin	9h	R2	Rennes2	18.5	F	0.0226	ok
R2/P/3/N12	22-juin	9h	R2	Rennes2	18.5	F	0.0207	ok
R2/P/3/N13	22-juin	9h	R2	Rennes2	18.5	F	0.0191	ok
R2/P/3/N15	23-juin	10h	R2	Rennes2	20.1	F	0.0271	ok
R2/P/3/N16	23-juin	10h	R2	Rennes2	20.1	F	0.0427	ok
R2/P/3/N17	23-juin	10h	R2	Rennes2	20.1	F	0.0342	ok
R2/P/3/N18	23-juin	10h	R2	Rennes2	20.1	F	0.0303	ok
R2/P/3/N19	23-juin	10h	R2	Rennes2	20.1	F	0.017	ok
R2/P/3/N2	22-juin	9h	R2	Rennes2	18.5	F	0.0205	ok
R2/P/3/N20	23-juin	10h	R2	Rennes2	20.1	F	0.0174	ok
R2/P/3/N21	23-juin	10h	R2	Rennes2	20.1	F	0.0239	ok
R2/P/3/N22	23-juin	10h	R2	Rennes2	20.1	F	0.0373	ok
R2/P/3/N23	23-juin	10h	R2	Rennes2	20.1	F	0.0358	ok
R2/P/3/N24	23-juin	10h	R2	Rennes2	20.1	F	0.036	ok
R2/P/3/N25	23-juin	10h	R2	Rennes2	20.1	F	0.0501	ok
R2/P/3/N26	23-juin	10h	R2	Rennes2	20.1	F	0.0468	ok
R2/P/3/N27	23-juin	10h	R2	Rennes2	20.1	F	0.039	ok
R2/P/3/N28	23-juin	10h	R2	Rennes2	20.1	F	0.0157	ok
R2/P/3/N29	23-juin	14h30	R2	Rennes2	23.4	F	0.0365	ok
R2/P/3/N3	22-juin	9h	R2	Rennes2	18.5	F	0.0217	ok
R2/P/3/N30	23-juin	14h30	R2	Rennes2	23.4	F	0.0307	ok
R2/P/3/N31	23-juin	14h30	R2	Rennes2	23.4	F	0.0332	ok
R2/P/3/N32	23-juin	14h30	R2	Rennes2	23.4	F	0.0257	ok
R2/P/3/N33	23-juin	14h30	R2	Rennes2	23.4	F	0.0428	ok
R2/P/3/N34	23-juin	14h30	R2	Rennes2	23.4	F	0.0417	ok
R2/P/3/N35	23-juin	14h30	R2	Rennes2	23.4	F	0.0326	ok
R2/P/3/N36	23-juin	14h30	R2	Rennes2	23.4	F	0.0287	ok
R2/P/3/N37	23-juin	14h30	R2	Rennes2	23.4	F	0.0407	ok
R2/P/3/N38	23-juin	14h30	R2	Rennes2	23.4	F	0.0398	ok
R2/P/3/N39	23-juin	14h30	R2	Rennes2	23.4	F	0.0333	ok
R2/P/3/N4	22-juin	9h	R2	Rennes2	18.5	F	0.0197	ok
R2/P/3/N40	23-juin	14h30	R2	Rennes2	23.4	F	0.0321	ok
R2/P/3/N41	23-juin	14h30	R2	Rennes2	23.4	F	0.0406	ok
R2/P/3/N42	23-juin	14h30	R2	Rennes2	23.4	F	0.0295	ok
R2/P/3/N5	22-juin	9h	R2	Rennes2	18.5	F	0.0144	ok
R2/P/3/N6	22-juin	9h	R2	Rennes2	18.5	F	0.0195	ok
R2/P/3/N7	22-juin	9h	R2	Rennes2	18.5	F	0.0209	ok
R2/P/3/N8	22-juin	9h	R2	Rennes2	18.5	F	0.0163	ok
R2/P/3/N9	22-juin	9h	R2	Rennes2	18.5	F	0.014	ok
SC/P/2/N1	21-avr	11h	SC	Sant-cyr	20.3	F	0.0394	ok
SC/P/2/N10	21-avr	11h	SC	Sant-cyr	20.3	F	0.0251	ok
SC/P/2/N11	21-avr	11h	SC	Sant-cyr	20.3	F	0.03	ok
SC/P/2/N12	21-avr	11h	SC	Sant-cyr	20.3	F	0.0288	ok
SC/P/2/N13	21-avr	11h	SC	Sant-cyr	20.3	M	0.0112	ok
SC/P/2/N14	21-avr	11h	SC	Sant-cyr	20.3	F	0.0388	ok
SC/P/2/N15	21-avr	11h	SC	Sant-cyr	20.3	F	0.0476	ok
SC/P/2/N16	21-avr	11h	SC	Sant-cyr	20.3	F	0.034	ok
SC/P/2/N17	21-avr	11h	SC	Sant-cyr	20.3	F	0.0323	ok
SC/P/2/N18	21-avr	11h	SC	Sant-cyr	20.3	M	0.015	ok
SC/P/2/N19	21-avr	11h	SC	Sant-cyr	20.3	M	0.0123	ok
SC/P/2/N2	21-avr	11h	SC	Sant-cyr	20.3	M	0.0141	ok
SC/P/2/N20	21-avr	11h	SC	Sant-cyr	20.3	F	0.0267	ok
SC/P/2/N21	21-avr	11h	SC	Sant-cyr	20.3	M	0.0132	ok
SC/P/2/N22	21-avr	11h	SC	Sant-cyr	20.3	F	0.0356	ok
SC/P/2/N23	21-avr	11h	SC	Sant-cyr	20.3	M	0.0131	ok
SC/P/2/N24	21-avr	11h	SC	Sant-cyr	20.3	M	0.01	ok
SC/P/2/N25	21-avr	11h	SC	Sant-cyr	20.3	M	0.0159	ok
SC/P/2/N26	21-avr	11h	SC	Sant-cyr	20.3	F	0.045	ok
SC/P/2/N27	21-avr	11h	SC	Sant-cyr	20.3	F	0.0562	ok
SC/P/2/N28	21-avr	11h	SC	Sant-cyr	20.3	F	0.0499	ok
SC/P/2/N3	21-avr	11h	SC	Sant-cyr	20.3	F	0.0273	ok
SC/P/2/N4	21-avr	11h	SC	Sant-cyr	20.3	F	0.0216	ok
