Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
H1/P/N10	18-mars	11h	H1	Saint-Martin	16.1	M	0.0248	juv
H1/P/N11	18-mars	11h	H1	Saint-Martin	16.1	F	0.0276	juv
H1/P/N12	18-mars	11h	H1	Saint-Martin	16.1	F	0.028	juv
H1/P/N13	18-mars	11h	H1	Saint-Martin	16.1	M	0.023	juv
H1/P/N14	18-mars	11h	H1	Saint-Martin	16.1	F	0.0222	juv
H1/P/N15	21-mars	11h30	H1	Saint-Martin	15.3	F	0.0226	juv
H1/P/N16	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0179	juv
H1/P/N17	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0128	juv
H1/P/N18	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0132	juv
H1/P/N19	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0091	juv
H1/P/N2	18-mars	11h	H1	Saint-Martin	16.1	F	0.0223	juv
H1/P/N20	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0147	juv
H1/P/N21	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0201	juv
H1/P/N22	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0134	juv
H1/P/N23	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0282	juv
H1/P/N24	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0118	juv
H1/P/N25	21-mars	11h30	H1	Saint-Martin	15.3	F	0.0101	juv
H1/P/N26	21-mars	11h30	H1	Saint-Martin	15.3	F	0.0127	juv
H1/P/N27	21-mars	11h30	H1	Saint-Martin	15.3	M	0.0227	ok
H1/P/N28	21-mars	11h30	H1	Saint-Martin	15.3	F	0.0113	juv
H1/P/N29	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0189	juv
H1/P/N3	18-mars	11h	H1	Saint-Martin	16.1	F	0.0188	juv
H1/P/N30	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0137	juv
H1/P/N31	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0131	juv
H1/P/N32	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0192	juv
H1/P/N33	25-mars	13h30	H1	Saint-Martin	22.5	F	0.0158	juv
H1/P/N34	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0213	juv
H1/P/N35	25-mars	13h30	H1	Saint-Martin	22.5	F	0.0256	juv
H1/P/N36	25-mars	13h30	H1	Saint-Martin	22.5	F	0.0163	juv
H1/P/N37	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0212	juv
H1/P/N38	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0128	juv
H1/P/N39	25-mars	13h30	H1	Saint-Martin	22.5	F	0.0101	juv
H1/P/N4	18-mars	11h	H1	Saint-Martin	16.1	F	0.0116	juv
H1/P/N40	25-mars	13h30	H1	Saint-Martin	22.5	F	0.0114	juv
H1/P/N41	25-mars	13h30	H1	Saint-Martin	22.5	M	0.0183	juv
H1/P/N42	25-mars	13h30	H1	Saint-Martin	22.5	M	0.017	juv
H1/P/N5	18-mars	11h	H1	Saint-Martin	16.1	M	0.0205	juv
H1/P/N6	18-mars	11h	H1	Saint-Martin	16.1	M	0.0127	juv
H1/P/N7	18-mars	11h	H1	Saint-Martin	16.1	M	0.0128	juv
H1/P/N8	18-mars	11h	H1	Saint-Martin	16.1	F	0.0135	juv
H1/P/N9	18-mars	11h	H1	Saint-Martin	16.1	M	0.013	juv
L1/P/2/N1	21-avr	9h30	L1	Coulée-vert	18.2	M	0.013	ok
L1/P/2/N10	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0143	ok
L1/P/2/N11	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0115	ok
L1/P/2/N12	21-avr	9h30	L1	Coulée-vert	18.2	M	0.013	ok
L1/P/2/N13	21-avr	9h30	L1	Coulée-vert	18.2	M	0.014	ok
L1/P/2/N14	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0135	ok
L1/P/2/N15	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0227	ok
L1/P/2/N16	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0405	ok
L1/P/2/N17	21-avr	9h30	L1	Coulée-vert	18.2	F	0.04	ok
L1/P/2/N18	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0446	ok
L1/P/2/N19	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0291	ok
L1/P/2/N2	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0126	ok
L1/P/2/N20	21-avr	9h30	L1	Coulée-vert	18.2	F	0.032	ok
L1/P/2/N21	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0201	juv
L1/P/2/N22	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0425	ok
L1/P/2/N23	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0401	ok
L1/P/2/N24	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0499	ok
L1/P/2/N25	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0408	ok
L1/P/2/N26	21-avr	9h30	L1	Coulée-vert	18.2	F	0.045	ok
L1/P/2/N27	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0104	ok
L1/P/2/N28	21-avr	9h30	L1	Coulée-vert	18.2	F	0.0229	ok
L1/P/2/N3	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0141	ok
L1/P/2/N4	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0158	ok
L1/P/2/N5	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0136	ok
L1/P/2/N6	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0164	ok
L1/P/2/N7	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0109	ok
L1/P/2/N8	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0143	ok
L1/P/2/N9	21-avr	9h30	L1	Coulée-vert	18.2	M	0.0123	ok
L1/P/N1	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0145	ok
L1/P/N10	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0122	juv
L1/P/N11	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0162	juv
L1/P/N12	22-mars	10h30	L1	Coulee-verte	14.4	M	0.0134	juv
