	Identifiant	Dev_stage.x	Site.x	UHI_class_2021.x	UHI_12_02_pixel.x	UHI_03_04_pixel.x	UHI_09_04_pixel.x	Session.x	Dispositif.x	Min1	Min2	Min3	Min4	Min5	Min6	Min7	Min8	Min9	Min10	Min11	Min12	Min13	Min14	Min15	Min16	Min17	Min18	Min19	Min20	Min21	Min22	Min23	Min24	Min25	Min26	Min27	Min28	Min29	Min30	Min31	Min32	Min33	Min34	Min35	Min36	Min37	Min38	Min39	Min40	Min41	Min42	Min43	Min44	Min45	Min46	Min47	Min48	Min49	Min50	Min51	Min52	Min53	Min54	Min55	Min56	Min57	Min58	Min59	Min60	Min61	Min62	Min63	Min64	Min65	Min66	Min67	Min68	Min69	Min70	Min71	Min72	Min73	Min74	Min75	Min76	Min77	Min78	Min79	Min80	Min81	Min82	Min83	Min84	Min85	Min86	Min87	Min88	Min89	Min90
456	R/P/N23	Adult	R	High	2.100	2.5	2.3625	1	A	36.4	36	36	36	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	36.7	35.6	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	33.3	33.3	33.3	33.3	33.3	33.3	33.3	26.6	30.6	30.9	30.9	30.9	23.7	31.3	32	32	32	32	27.2	31.7	32	27.2	30.9	32	32	32	32	32	32	32	32	32	36	30.9	30.9
457	R/P/N24	Adult	R	High	2.100	2.5	2.3625	1	A	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	34.9	34.9	34.9	34.9	29.1	28.8	28.8	28.8	28.8	28.6	28.2	28.2	28.2	28.1	27	26.8	28.8	28.6	28.4	29.1	29	29.3	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5
458	R/P/N25	Adult	R	High	2.100	2.5	2.3625	1	A	25.2	26.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.6	32.6	32.6	32.6	32.2	32.2	32.2	32.2	32.2	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5
459	R/P/N26	Adult	R	High	2.100	2.5	2.3625	1	A	16.9	16.9	34.2	37.1	36.7	36.7	35.3	35.3	34.7	34.7	34.7	34.7	34.7	34.4	33.5	33.5	33.5	33.5	33.5	30.9	30.9	30.9	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	35.3	33.1	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7
460	R/P/N27	Juvenile	R	High	2.100	2.5	2.3625	1	A	25.7	25.5	27.7	33.8	33.5	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	20.7	30.6	30.8	33.8	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	25.7	30.8	37.6	33.6	33.6	33.6	33.6	33.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	15.1	31.7	31.7	33.8	33.8	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9
461	R/P/N28	Adult	R	High	2.100	2.5	2.3625	1	A	28.4	28.4	28.4	28.4	29.5	38.2	37.3	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	37.1	35.6	35.6	35.6	35.6	33.8	20.1	28.4	28.4	28.4	29.9	30.8	31.1	33.8	33.8	33.8	33.8	33.8	33.8	33.8	32.7	32.7	32.7	32.7	32.7	32.7	29.1	31.1	32.6	32.6	32.6	32.6	32.6	38.2	38.2	35.8	32.9	32.9	32.9	32.9	32.9	32.9	32.9	17.4	32.6	32.6	32.6	34.4	34.4	34.4	34.4	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	32.4	32.4	32.4
462	R/P/N3	Juvenile	R	High	2.100	2.5	2.3625	1	A	32.6	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	34.2	38.2	34.9	34.2	34.2	34.2	31.8	31.8	31.8	30.8	32.6	32.7	32.7	32.7	32.7	32.7	32.7	34.9	34.9	34.9	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	31.1	32	32	32	32	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	37.8	34.2	34.2	34.2	27	31.1	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	33.5	33.5	33.5	33.5	33.5	33.5
463	R/P/N5	Juvenile	R	High	2.100	2.5	2.3625	1	A	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	34.4	33.3	34.2	38.2	34.9	34.2	34.2	34.2	32	32	32	30.8	33.3	32.7	32.7	32.7	32.7	32.7	32.7	34.9	34.9	34.9	33.8	38.2	34.5	34.5	34	34	34	34	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7
464	R/P/N6	Juvenile	R	High	2.100	2.5	2.3625	1	A	16.9	16.9	16.9	16.9	16.9	15.1	15.1	15.1	15.8	19	19	19	19	19	19	19	19	19	19	19	30.8	33.5	33.3	33.3	33.3	33.3	33.3	33.3	32.7	32	32	31.3	31.3	30.9	30.9	30.9	31.3	32.7	32.7	32.7	32.7	32.7	32.7	32	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5	32	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32	31.1	30.9	31.1	31.1	31.1	31.1	31.1	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.7	31.7	31.3	31.3	31.3	31.3	31.3	32	32	32	32	32
465	R/P/N7	Juvenile	R	High	2.100	2.5	2.3625	1	A	29.3	32.9	32.9	32.9	32	32	32	32	32	31.1	31.1	31.1	31.1	31.1	31.1	31.1	31.1	29.7	29.7	29.7	29.7	29.7	29.7	30.4	31.3	31.3	31.3	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.4	32.7	32.7	32.7	32.7	32.7	32.7
