	Identifiant	Dev_stage.x	Site.x	UHI_class_2021.x	UHI_12_02_pixel.x	UHI_03_04_pixel.x	UHI_09_04_pixel.x	Session.x	Dispositif.x	Min1	Min2	Min3	Min4	Min5	Min6	Min7	Min8	Min9	Min10	Min11	Min12	Min13	Min14	Min15	Min16	Min17	Min18	Min19	Min20	Min21	Min22	Min23	Min24	Min25	Min26	Min27	Min28	Min29	Min30	Min31	Min32	Min33	Min34	Min35	Min36	Min37	Min38	Min39	Min40	Min41	Min42	Min43	Min44	Min45	Min46	Min47	Min48	Min49	Min50	Min51	Min52	Min53	Min54	Min55	Min56	Min57	Min58	Min59	Min60	Min61	Min62	Min63	Min64	Min65	Min66	Min67	Min68	Min69	Min70	Min71	Min72	Min73	Min74	Min75	Min76	Min77	Min78	Min79	Min80	Min81	Min82	Min83	Min84	Min85	Min86	Min87	Min88	Min89	Min90
1	F/P/2/N1	Adult	F	Low	0.950	1.2	1.0375	2	A	27.9	27.7	16.9	24.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	28.1	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	35.3	35.3	35.3
2	F/P/2/N10	Adult	F	Low	0.950	1.2	1.0375	2	A	33.3	33.3	33.3	33.3	16.1	23.2	15.6	26.8	27.7	33.1	26.3	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.9	32.6	32.6	32.6	22.8	33.1	26.6	26.8	26.8	27.7	23.5	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	29.9	31.5	31.5	31.5	31.5	31.5	31.5	31.5	31.5
3	F/P/2/N11	Adult	F	Low	0.950	1.2	1.0375	2	A	23.4	23.4	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	34.5	34.5	34.5	34.5	34.5	34.5	34.5
4	F/P/2/N12	Adult	F	Low	0.950	1.2	1.0375	2	A	33.8	24.4	30.6	30.6	30.6	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	38.2	26.4	31.7	31.7	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2
5	F/P/2/N13	Adult	F	Low	0.950	1.2	1.0375	2	A	22.8	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	24.8	29	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7
6	F/P/2/N14	Adult	F	Low	0.950	1.2	1.0375	2	A	27.7	35.8	19	22.1	22.1	22.1	24.6	24.6	24.6	24.6	21.4	26.1	26.1	26.1	26.1	22.5	22.5	22.5	22.5	22.5	22.8	22.8	21.7	21.7	21.7	21.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	25.7	23	23.2	27	27	27	27	27	27	27	28.1	19.6	20.7	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	26.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6
7	F/P/2/N15	Adult	F	Low	0.950	1.2	1.0375	2	B	24.6	28.8	28.6	28.8	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	33.8	35.8	38	33.1	16.8	34.6	23
8	F/P/2/N16	Adult	F	Low	0.950	1.2	1.0375	2	B	22.5	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.1	33.6	28.6	33.8	37.7	30.9	30.9	31.9	31.3	30.6	26.6	30.9	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7
9	F/P/2/N17	Adult	F	Low	0.950	1.2	1.0375	2	B	29.4	29.4	27.7	37.7	37.3	37.3	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	35.1	37.3	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	37.2	27.2	36.8	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	36.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.3	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	37	37.3	33.1	37.7	37.7	19.8	35.8	37	37	37	37	37	37	37	37	37
10	F/P/2/N18	Adult	F	Low	0.950	1.2	1.0375	2	B	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	31.3	38	33.3	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	35.5	24.9	24.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	37	30.9	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3
11	F/P/2/N19	Adult	F	Low	0.950	1.2	1.0375	2	B	36.3	27.7	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	26.9	37.2	33.5	37.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7	34.8	37	34.8	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	36.2	36.8	34.1	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	37.7	26.2	37.5	36.8	36.8	36.8	36.8	36.8	36.8	31.4	31.1	31.8	36.7	36.7	36.7	36.7	36.7	36.7	36.7	36.7
12	F/P/2/N20	Adult	F	Low	0.950	1.2	1.0375	2	B	21.5	21.5	24.9	30.3	30.3	25.2	27.2	26.6	23.9	26.9	26.9	26.9	26.9	26.9	27.9	27.9	27.9	27.9	27.9	27.9	27.9	27.9	27.9	27.9	29.1	29.3	29.3	29.3	29.3	29.3	29.3	29.3	29.3	29.3	29.3	25.9	29.1	22.2	27.1	28.2	28.2	28.2	28.2	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.3	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.6	32.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8
13	F/P/2/N21	Adult	F	Low	0.950	1.2	1.0375	2	B	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	34.8	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3
14	F/P/2/N22	Adult	F	Low	0.950	1.2	1.0375	2	B	24.7	17.5	29.1	31.4	28.9	33	19.5	35	35	29.9	31.1	31.1	32.5	29.4	37.3	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	37.7	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5	37.5
15	F/P/2/N23	Adult	F	Low	0.950	1.2	1.0375	2	B	16.8	17.5	18	19.3	22.5	25.4	25.4	25.9	37.7	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	36.5	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3
16	F/P/2/N24	Adult	F	Low	0.950	1.2	1.0375	2	B	27.7	26.1	26.1	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	32.8	33.6	33.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	21.5	21	21.5	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	28.4	35.6	37	35.1	28.2	37	38	38	38	38	38	38	38	38	38	38	38	38	38	38
17	F/P/2/N25	Adult	F	Low	0.950	1.2	1.0375	2	B	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	17.5	38	37.7	37.7	33	22.9	36.3	37.7	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	30.6	17.2	16.8	18.7	26.7	37.3	37.5	27.7	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
18	F/P/2/N26	Adult	F	Low	0.950	1.2	1.0375	2	B	29.6	38	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36	37.7	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3	37.3
19	F/P/2/N27	Adult	F	Low	0.950	1.2	1.0375	2	B	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	25.2	28.2	18.5	32.6	33.3	32.3	28.8	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	34.3	19.7	35.3	35	32.5	32.5	33	31.6	33	36.2	33.5	33.5	33.5	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6
20	F/P/2/N28	Adult	F	Low	0.950	1.2	1.0375	2	B	25.9	25.9	35.5	35	35	35	35	35	35	35	35	35	35	35	35	17.2	34.5	30.6	35	37.8	29.6	NA	38	28.2	27.1	33	28.6	35.6	32.8	35.6	33.1	35.6	35.6	37	35.6	28.9	31.6	31.6	31.6	36.2	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	36.3	35.1	29.9	37.7	28.2	38	26.9	31.4	32.6	35	35	35	35	36.8	37	29.3	38	31.4	31.8	32.8	32.6	32.6	37.3	32.5	32.5	32.5	32.5	32.5	32.5
21	F/P/2/N4	Adult	F	Low	0.950	1.2	1.0375	2	A	31.1	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.3	31.7	31.7	31.7	31.7	31.7	31.7	31.7	31.7	31.7	31.7
22	F/P/2/N5	Adult	F	Low	0.950	1.2	1.0375	2	A	23.2	27	27	27	27	27	27	27	20.7	18.3	19.4	17.6	17.6	17.6	17.6	17.6	17.6	17.6	17.6	17.6	19.4	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	25.9	21.9	20.1	27.7	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8
23	F/P/2/N6	Adult	F	Low	0.950	1.2	1.0375	2	A	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	19.4	28.6	28.2	28.2	29.9	29.9	15.4	29	27.2	28.8	28.8	30.2	25.5	26.6	26.6	26.6	26.6	26.6	26.6	26.6	27.5	27.5	27.5	27.5	27.5	27.5
24	F/P/2/N7	Adult	F	Low	0.950	1.2	1.0375	2	A	26.6	23.9	16	27	26.6	27	21.7	22.3	26.3	26.3	26.3	26.3	26.3	19.9	27.9	27.9	27.9	27.9	27.9	27.9	18.9	18.9	20.8	20.8	20.8	27.3	21	21.7	21.7	21.7	21.7	21.7	21.7	21.7	21.7	21.7	26.8	15.4	21.7	21.7	21.7	21.7	21.7	21.7	21.7	21.7	21.7	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1	26.1
25	F/P/2/N9	Adult	F	Low	0.950	1.2	1.0375	2	A	25.9	25.9	20.8	27.3	27.3	27.3	27.3	27.3	27.3	27.3	27.3	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	37.1	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9	36.9
26	F/P/N1	Adult	F	Low	0.950	1.2	1.0375	1	A	34	32	21.2	24.1	28.8	27.5	38.2	34.5	33.1	21.6	25.7	21	23.5	25.3	30.4	30.4	30.4	30.4	30.4	30.4	30.4	30.4	32.9	32.9	24.1	27	27.7	24.8	25.7	33.5	33.5	33.5	33.5	29.7	29.7	29.7	29.7	15.4	31.3	31.3	31.3	31.3	31.3	31.3	25.7	27.5	31.1	24.6	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.1	33.5	31.1	31.1	31.1	24.3	30.2	20.5	29.1	32.2	32.2	32.2	32.2	32.2	32.2	32.2	37.1	34.4	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	32.2	29.7	36.7	35.1	35.1	35.1	31.5	23.2
27	F/P/N10	Adult	F	Low	0.950	1.2	1.0375	1	A	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32.7	32	32	32	32	32	32	32	32	31.1	28.4	26.8	32.4	34.2	34.2	34.2	35.6	35.6	35.6	35.6	35.6	35.6	35.6	35.6	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.9	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.5	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	34.2	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	32.9	32.9	32.9	32.9	32.9
28	F/P/N11	Adult	F	Low	0.950	1.2	1.0375	1	A	18.7	16.1	22.6	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	33.3	30.6	30.6	32	32	32	32	32	32	32	32	32	29.7	33.5	22.6	29.7	24.8	29	34	34	34	34	34	34	34	34	34	34	34
29	F/P/N12	Adult	F	Low	0.950	1.2	1.0375	1	A	15.4	15.4	15.8	17.2	25.3	29.1	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	34.7	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.5	35.1	35.1	35.1	35.1	35.1	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	34.9	34.9	34.9	34.9	34.9	34.9	34.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	34	34	34	34	34	34	34
30	F/P/N13	Juvenile	F	Low	0.950	1.2	1.0375	1	A	28.8	16.1	24.6	24.6	26.1	33.5	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	30.9	26.8	31.1	32.7	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4	37.4
31	F/P/N14	Adult	F	Low	0.950	1.2	1.0375	1	A	27	27.2	27.2	25.3	25.3	25.5	27	27	27.5	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.6	30.2	30.2	30.2	29.7	29.5	29.5	30.9	30.9	38.2	34.4	32.6	32.7	29.9	29.9	29.9	30.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	32.2	32.2	32.2	32.2	32.2	32.9	32.9	38	33.5	33.5	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	31.8	32.9	33.5	33.5	33.5	33.5	33.5	33.5	33.5	33.5	38.2	34.4	33.1	33.1	33.1	33.1
32	F/P/N15	Juvenile	F	Low	0.950	1.2	1.0375	1	B	28.4	28.2	18.2	24.9	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	28.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	33.6	35.3	35.3	35.3
33	F/P/N18	Adult	F	Low	0.950	1.2	1.0375	1	B	31.4	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.6	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9	31.9
34	F/P/N19	Adult	F	Low	0.950	1.2	1.0375	1	B	24	27.6	27.6	27.6	27.6	27.6	27.6	27.6	21.7	19.5	20.5	18.8	18.8	18.8	18.8	18.8	18.8	18.8	18.8	18.8	20.5	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	26.6	22.9	21.2	28.2	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1	32.1
35	F/P/N2	Adult	F	Low	0.950	1.2	1.0375	1	A	16.1	25.7	30.2	30.2	26.4	26.4	26.4	26.4	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	29.5	27.7	34	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	33.8	34.2	37.8	34.7	34.7	34.7	34.7	34.7	34.7	29.5	32.7	34.7	34.2	34.2	34.2	34.2	34.2	34.2	34.2	30.4	28.8	34.4	28.4	25.9	28.6	28.8	35.3	35.3	35.3	35.3	35.3	35.3	35.3	34.5	21.7	24.8	25.5	27.7	30.4	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3	35.3
36	F/P/N20	Adult	F	Low	0.950	1.2	1.0375	1	B	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	20.5	29.1	28.8	28.8	30.3	30.3	16.8	29.4	27.7	29.3	29.3	30.6	26.2	27.2	27.2	27.2	27.2	27.2	27.2	27.2	28.1	28.1	28.1	28.1	28.1	28.1
